userid,permissions,bugsfiled,assignedto
517691,Can confirm bugs can edit any bug,507,654
517808,0,3,0
518002,0,29,0
518201,0,46,0
519737,0,2,0
520428,0,80,0
521718,Can confirm bugs can edit any bug,239,365
522029,Can confirm bugs can edit any bug,590,538
522159,0,4,0
523226,0,9,0
524487,0,13,0
526157,0,2,0
526373,0,24,0
529427,0,7,0
530272,0,1,0
530478,0,2,0
531213,0,2,0
532903,0,25,0
533566,0,3,0
533624,Can confirm bugs can edit any bug,384,399
534134,0,53,0
534624,Can confirm bugs,14,0
535729,0,10,0
535863,0,13,0
535909,0,4,0
535991,0,31,0
536131,0,4,0
537703,Can confirm bugs can edit any bug,311,204
538140,0,76,0
538235,0,2,0
538644,0,6,0
538805,Can confirm bugs can edit any bug,107,7
539909,0,55,0
540296,0,4,0
541275,0,6,0
541581,Can confirm bugs can edit any bug,87,30
542041,0,3,0
542501,0,9,0
542658,Can confirm bugs can edit any bug,111,2
542679,Can confirm bugs can edit any bug,105,227
543630,0,8,0
546716,Can confirm bugs can edit any bug,2070,2601
548155,Can confirm bugs can edit any bug,23,5
548330,0,1,0
548651,0,1,0
548662,0,16,0
549235,0,1,0
549531,0,2,0
549602,0,101,2
549886,0,1,0
551242,0,4,5
552139,0,5,0
552342,0,2,0
553004,Can confirm bugs can edit any bug,558,344
553569,0,6,0
553831,0,100,2
554238,Can confirm bugs can edit any bug,17,9
556121,0,22,0
556776,0,1,0
557153,Can confirm bugs can edit any bug,1138,1002
557425,Can confirm bugs can edit any bug,18,0
557698,0,5,0
557772,Can confirm bugs can edit any bug,155,0
558218,Can confirm bugs can edit any bug,77,0
559324,0,5,1
559524,Can confirm bugs can edit any bug,274,0
560177,0,6,0
560210,0,4,0
560379,Can confirm bugs can edit any bug,301,296
560431,Can confirm bugs can edit any bug,874,39
561651,0,1,0
561655,Can confirm bugs can edit any bug,310,400
562639,0,6,0
563005,0,5,0
563113,0,12,0
563218,Can confirm bugs can edit any bug,106,0
563455,Can confirm bugs can edit any bug,389,281
563864,Can confirm bugs can edit any bug,84,23
565489,Can confirm bugs can edit any bug,251,155
565577,Can confirm bugs can edit any bug,229,0
565766,0,32,0
566188,Can confirm bugs can edit any bug,38,30
566981,Can confirm bugs can edit any bug,56,17
567427,Can confirm bugs can edit any bug,239,241
568171,0,6,0
568298,0,5,0
568365,0,112,0
568763,0,3,0
569684,0,57,0
570520,0,2,0
570544,Can confirm bugs can edit any bug,28,0
571010,Can confirm bugs can edit any bug,165,308
573381,Can confirm bugs can edit any bug,48039,0
573392,0,11,0
574618,0,30,0
575498,0,6,0
576169,0,2,0
576436,Can confirm bugs can edit any bug,34,5
576696,Can confirm bugs can edit any bug,638,281
576898,0,2,0
576968,0,4,0
577973,0,6,0
578244,0,3,0
578413,Can confirm bugs,44,0
578488,Can confirm bugs can edit any bug,973,580
578678,0,16,0
579819,0,3,0
580221,0,50,0
580361,0,4,0
580382,Can confirm bugs can edit any bug,142,154
580524,0,1,0
581152,0,31,0
581646,0,1,0
581883,0,8,0
582062,0,2,0
582291,Can confirm bugs can edit any bug,116,185
582312,0,3,0
583576,Can confirm bugs can edit any bug,167,74
583580,0,1,0
583776,Can confirm bugs can edit any bug,143,93
583857,0,2,0
584072,0,1,0
584446,0,1,0
584477,0,3,0
584718,0,32,0
584931,0,2,0
584971,0,1,0
585566,Can confirm bugs can edit any bug,152,0
586861,0,8,0
587093,0,4,0
587136,0,31,0
587850,0,34,0
588487,0,2,0
588509,0,10,0
589408,0,8,0
589599,0,1,0
589663,0,2,0
590349,0,1,0
590618,Can confirm bugs can edit any bug,905,142
590636,Can confirm bugs can edit any bug,59,4
590737,0,11,0
590895,Can confirm bugs can edit any bug,45,7
590935,0,107,11
592114,0,2,0
592368,0,1,0
593018,0,3,0
593247,0,2,0
594780,Can confirm bugs can edit any bug,164,0
595512,0,30,0
596219,0,3,1
597354,0,1,0
597475,0,16,0
598220,0,2,0
598298,0,4,0
598626,0,1,0
598923,0,6,0
598954,0,5,0
599420,0,14,0
599854,0,2,0
600165,Can confirm bugs can edit any bug,11,0
600285,0,1,0
600305,0,93,0
600437,0,3,0
600547,Can confirm bugs can edit any bug,32,2
600553,Can confirm bugs can edit any bug,237,102
600555,Can confirm bugs can edit any bug,256,16
600557,Can confirm bugs can edit any bug,60,10
600569,Can confirm bugs can edit any bug,116,16
600605,Can confirm bugs can edit any bug,35,8
600635,Can confirm bugs can edit any bug,105,5
600694,0,4,0
600887,0,5,7
601125,0,3,0
602885,0,2,0
603026,0,6,3
603781,Can confirm bugs can edit any bug,17,26
604355,0,4,0
604768,0,25,0
605041,0,106,0
605419,0,3,0
605508,0,2,0
605529,Can confirm bugs can edit any bug,4,1
605561,0,2,0
605575,0,3,0
606275,0,12,0
606293,0,2,0
606327,0,3,0
607203,0,1,0
607216,0,3,0
607826,Can confirm bugs can edit any bug,13,0
608009,0,14,0
608090,0,5,0
608389,0,2,0
608644,0,24,0
608980,0,3,0
609110,0,1,0
609160,0,1,0
609212,0,1,0
609236,0,1,0
609266,0,1,0
609332,0,1,0
609341,Can confirm bugs can edit any bug,6,4
609453,0,2,0
609512,0,2,0
609548,Can confirm bugs can edit any bug,14,4
609746,0,2,0
609825,0,208,0
610125,0,2,0
610374,0,1,0
610380,0,1,0
610423,0,1,0
610770,0,7,0
610773,0,1,0
610861,0,2,0
610872,0,1,0
611020,0,1,0
611029,0,2,0
611182,0,1,0
611250,0,1,0
611325,0,1,0
611346,0,1,0
611467,0,1,0
611496,0,1,0
611586,0,1,0
611648,0,1,0
611650,0,1,0
611676,0,7,0
611719,0,2,0
611816,0,2,0
611842,0,2,0
611956,0,1,0
611984,0,1,0
612106,0,1,0
612212,0,1,0
612281,0,1,0
612346,0,1,0
612390,0,1,0
612567,0,1,0
612570,0,2,0
612749,0,1,0
612830,0,1,0
612881,0,1,0
613094,0,1,0
613153,0,1,0
613435,0,1,0
613466,Can confirm bugs can edit any bug,52,0
613543,0,2,1
613573,0,1,0
613608,0,1,0
613676,0,1,0
613831,Can confirm bugs can edit any bug,81,205
613866,Can confirm bugs can edit any bug,35,95
614143,0,1,0
614153,0,1,0
614155,0,1,0
614270,0,1,0
614288,0,1,0
614323,Can confirm bugs can edit any bug,22,69
614359,0,2,0
614437,0,1,0
614638,0,2,0
614743,0,1,0
614810,0,1,0
614811,0,1,0
614850,0,1,0
614907,0,1,0
614933,0,2,0
614948,0,2,0
614972,0,1,0
614991,0,2,0
615015,0,1,0
615040,0,3,0
615126,0,1,0
615585,0,2,0
615678,0,1,0
615926,0,3,0
615962,0,1,0
616019,0,1,0
616036,0,1,0
616047,0,1,0
616071,0,1,0
616105,Can confirm bugs can edit any bug,27,0
616140,0,1,0
616180,0,1,0
616361,0,1,0
616399,0,1,0
616448,0,1,0
616635,Can confirm bugs,4,0
616695,0,1,0
616705,0,1,0
616767,0,1,0
616790,0,1,0
616838,0,5,0
616839,0,3,0
616999,Can confirm bugs can edit any bug,14,0
617195,Can confirm bugs can edit any bug,52,0
617232,0,1,0
617319,0,1,0
617376,0,1,0
617388,0,1,0
617516,0,1,0
617521,0,2,0
617642,0,1,0
617757,0,1,0
617831,0,1,0
617947,0,1,0
618036,Can confirm bugs can edit any bug,2,6
618095,0,2,0
618248,0,2,0
618286,0,1,0
618305,0,1,0
618341,0,7,0
618465,Can confirm bugs can edit any bug,13,1
618619,0,3,0
618681,0,1,0
618750,0,1,0
618763,0,2,0
618911,0,2,0
618977,0,1,0
619042,0,1,0
619083,0,1,0
619113,0,1,0
619228,0,1,0
619279,0,1,0
619562,Can confirm bugs can edit any bug,48,22
619838,0,1,0
620053,Can confirm bugs,2,0
620106,0,3,0
620174,0,1,0
620191,0,1,0
620276,0,1,0
620354,0,1,0
620356,0,1,0
620370,0,2,0
620382,0,1,0
620385,0,1,0
620610,0,1,0
620657,Can confirm bugs can edit any bug,42,3
620669,0,1,0
620731,0,1,0
620747,0,2,0
620796,Can confirm bugs can edit any bug,32,0
620803,0,4,0
620830,0,1,0
620838,0,5,0
620854,0,2,0
621011,0,1,0
621020,Can confirm bugs can edit any bug,58,0
621224,0,1,0
621440,Can confirm bugs can edit any bug,64,36
621456,0,1,0
621719,0,1,0
621758,0,1,0
622146,0,3,0
622179,0,1,0
622225,0,3,0
622235,0,2,0
622245,0,1,0
622258,0,1,0
622396,0,1,0
622410,0,1,0
622758,0,5,0
622807,0,1,0
622816,0,2,0
622877,0,1,0
622957,0,1,0
622974,Can confirm bugs can edit any bug,239,275
622978,0,1,0
623018,0,1,0
623059,0,1,0
623137,0,1,0
623139,0,1,0
623346,0,1,0
623386,0,2,0
623434,0,4,0
623634,Can confirm bugs can edit any bug,43,1
623723,0,2,0
623854,0,8,0
623887,0,1,0
623900,0,1,0
624106,0,1,0
624188,0,1,0
624204,0,3,0
624207,0,2,0
624242,0,1,0
624378,0,1,0
624398,0,1,0
624469,Can confirm bugs can edit any bug,50,3
624474,Can confirm bugs can edit any bug,123,36
624562,0,1,0
624598,0,1,0
624603,0,173,0
624708,0,2,0
624775,0,1,0
624875,0,1,0
624917,Can confirm bugs can edit any bug,64,8
624927,0,1,0
625006,0,3,0
625016,0,2,0
625027,0,1,0
625038,0,1,0
625056,0,4,0
625155,0,1,0
625274,0,1,0
625399,0,1,0
625410,0,1,0
625633,0,2,0
625689,0,1,0
625807,0,1,0
625822,0,1,0
625839,0,1,0
626051,0,4,0
626118,0,6,0
626366,0,2,0
626413,0,1,0
626414,0,1,0
626495,0,1,0
626513,0,2,0
626598,0,1,0
626609,0,1,0
626623,0,1,0
626902,0,2,0
627373,0,1,0
627591,0,1,0
627636,0,1,0
627879,0,1,0
627980,0,2,0
627984,0,1,0
628001,0,1,0
628031,0,1,0
628035,0,3,0
628140,0,1,0
628296,0,2,0
628309,0,1,0
628356,0,2,0
628447,0,1,0
628516,0,1,0
628627,0,1,0
628856,0,1,0
628857,Can confirm bugs can edit any bug,188,179
629068,0,1,0
629106,0,1,0
629109,0,1,0
629197,0,1,0
629216,0,1,0
629256,0,1,0
629305,0,1,0
629389,0,1,0
629454,0,1,0
629483,0,1,0
629516,0,2,0
629615,0,1,0
629816,0,1,0
629821,0,1,0
629866,0,1,0
629867,0,1,0
629902,0,2,0
629904,0,1,0
630005,0,1,0
630015,0,1,0
630074,0,1,0
630174,0,1,0
630276,0,1,0
630303,0,3,0
630355,0,1,0
630501,0,1,0
630669,0,1,0
630671,0,1,0
630696,0,1,0
630743,0,1,0
630751,0,1,0
630777,0,3,0
630870,0,1,0
631154,0,10,0
631166,0,1,0
631205,Can confirm bugs can edit any bug,45,62
631237,Can confirm bugs can edit any bug,9,0
631329,0,2,0
631380,0,1,0
631427,0,1,0
631429,0,2,0
631714,0,1,0
631715,0,1,0
631777,0,1,0
631820,0,1,0
631971,0,1,0
632010,0,1,0
632291,0,1,0
632444,0,1,0
632467,0,1,0
632497,0,36,0
632633,0,1,0
632642,0,1,0
632670,0,2,0
632748,0,1,0
632799,0,1,0
633037,0,1,0
633057,0,1,0
633239,0,1,0
633257,0,2,0
633335,Can confirm bugs can edit any bug,36,0
633758,0,1,0
633791,0,1,0
633818,0,1,0
633848,Can confirm bugs can edit any bug,58,70
633868,0,1,0
633874,0,2,0
633976,0,2,0
634080,0,1,0
634085,0,1,0
634134,Can confirm bugs can edit any bug,270,83
634274,0,1,0
634492,0,1,0
634548,0,1,0
634638,0,1,3
634709,0,1,0
634735,0,1,0
634832,0,1,0
634881,0,1,0
634981,0,1,0
635017,0,1,0
635182,0,1,0
635315,0,33,0
635331,0,1,0
635391,0,1,0
635399,0,2,0
635447,0,1,0
635451,0,2,0
635549,0,1,0
635758,Can confirm bugs can edit any bug,5,0
635777,0,1,0
635778,0,1,0
635785,0,1,0
635913,0,2,0
635931,0,2,0
635987,0,1,0
636062,0,7,0
636270,0,1,0
636322,0,1,0
636332,0,1,0
636337,0,1,0
636396,0,1,0
636658,0,1,0
636673,0,1,0
636695,Can confirm bugs can edit any bug,49,0
636846,0,1,0
636940,0,1,0
637020,0,1,0
637048,0,1,0
637079,0,3,0
637202,0,1,0
637241,0,1,0
637371,0,1,0
637408,0,1,0
637481,0,1,0
637520,0,1,0
637525,0,2,0
637554,0,2,0
637620,0,1,0
637710,Can confirm bugs can edit any bug,4,13
638313,0,10,0
638334,0,1,0
638427,0,1,0
638434,0,1,0
638467,0,1,0
638693,0,2,0
638694,0,1,0
638731,0,1,0
638761,0,1,0
638828,0,1,0
638832,0,1,0
638837,0,1,0
638909,0,1,0
639107,0,1,0
639184,0,1,0
639213,0,1,0
639215,0,1,0
639333,0,1,0
639338,Can confirm bugs can edit any bug,1,0
639347,0,1,0
639516,0,1,0
639536,0,2,0
639580,0,2,0
639639,0,1,0
639701,0,1,0
639705,0,1,0
639872,0,1,0
639935,0,2,0
640122,0,2,0
640238,0,1,0
640258,0,1,0
640485,0,1,0
640501,0,3,0
640518,0,1,0
640552,0,1,0
640711,0,1,0
640866,0,1,0
640894,0,1,0
641098,0,1,0
641368,0,1,0
641377,0,1,0
641619,0,1,0
641637,0,1,0
641708,0,1,0
641737,0,1,0
641741,0,1,0
641873,0,1,0
641876,0,1,0
642091,0,1,0
642388,0,1,0
642413,0,3,0
642487,0,2,0
642531,0,1,0
642537,0,1,0
642650,0,4,0
642772,Can confirm bugs can edit any bug,14,0
642937,0,1,0
642974,0,1,0
643025,0,1,0
643247,0,1,0
643285,0,1,0
643463,0,1,0
643491,0,1,0
643570,0,1,0
643600,0,1,0
643767,0,1,0
644065,0,1,0
644071,0,1,0
644092,0,1,0
644107,0,2,0
644139,0,1,0
644231,0,1,0
644297,0,2,0
644480,0,1,0
644492,0,1,0
644715,0,2,0
644780,0,1,0
644911,0,2,0
644944,0,1,0
645004,0,1,0
645201,0,1,0
645285,0,1,0
645286,0,2,0
645330,0,1,0
645352,0,1,0
645372,0,1,0
645423,0,1,0
645438,0,1,0
645453,0,16,0
645605,0,2,0
645721,Can confirm bugs,1,0
645759,0,1,0
645806,0,1,0
646068,0,3,0
646093,0,1,0
646324,0,2,0
646507,0,1,0
646651,0,2,0
646739,0,1,0
646883,0,1,0
647079,0,1,0
647280,0,2,0
647412,Can confirm bugs can edit any bug,2,0
647418,0,1,0
647623,0,1,0
647747,0,2,0
647823,0,1,0
647977,0,1,0
648175,0,1,0
648341,0,1,0
648456,0,2,0
648616,0,1,0
648630,0,1,0
648740,0,1,0
648837,0,2,0
648909,0,1,0
649128,0,2,0
649147,0,1,0
649155,0,1,0
649158,0,1,0
649220,0,2,0
649331,0,1,0
649342,0,1,0
649429,0,1,0
649477,0,1,0
649550,0,2,0
649687,0,2,0
649691,0,1,0
649901,0,2,0
650111,0,1,0
650204,0,2,0
650225,0,1,0
650253,0,1,0
650292,0,1,0
650401,0,1,0
650649,0,1,0
650916,0,1,0
650933,0,1,0
650938,0,2,0
651008,0,1,0
651088,0,1,0
651143,0,1,0
651246,0,1,0
651268,0,1,0
651803,0,2,0
651821,0,1,0
651934,0,1,0
652184,0,1,0
652216,0,1,0
652318,0,2,0
652332,0,5,0
652791,0,1,0
652837,0,1,0
652864,0,1,0
652899,0,1,0
653238,0,1,0
653556,0,1,0
653645,0,1,0
653675,0,1,0
653727,0,1,0
653804,0,1,0
